name,cat,url,info_Español,info_English,img
Aventura,software,https://github.com/srsergiorodriguez/aventura,Una librería de JavaScript para la creación de literatura electrónica. Generadores automáticos de texto e historias interactivas.,A library for creating electronic literature. Automatic text generators and interactive stories.,./code/aventura.gif
Ondas,software,https://library.vcvrack.com/?brand=Ondas,Una serie de módulos para el software VCV Rack para la creación de música y sonido generativo.,A series of modules for the software VCV rack for the creation of music and generative sound.,./code/ondas.jpg
Bebop,software,https://srsergior.itch.io/bebop,Un generador de música para videojuegos. Exporta archivos .wav y patrones de Pico-8,A music generator for videogame projects. It exports .wav files and Pico-8 patterns.,./code/bebop.gif
MiniGif,software,https://github.com/srsergiorodriguez/minigif,Una librería de JavaScript para codificar y exportar gifs en el explorador web.,A library for coding and exporting gifs in the web explorer.,./code/minigif.gif
igrama,software,https://srsergiorodriguez.github.io/igrama/,Una interfaz para la creación de dibujos y collages generativos. Basada en la librería Aventura.,A graphical interface for creating generative drawings and collages. It is based on the Aventura library.,./code/igrama.gif
La sociedad del autorregistro,explorables,https://srsergiorodriguez.github.io/sociedad_autorregistro/,"Un ensayo interactivo acerca de la identidad como datificación, basado en el ensayo La sociedad del espectáculo de Guy Debord.","An interactive essay about identity as datification, based on the essay The society of the spectacle by Guy Debord.",./code/autorregistro.gif
Serie Mini,collections,https://srsergiorodriguez.github.io/serie-mini/,Un sistema para la creación de colecciones digitales. Sigue estándares IIIF e incluye varias formas de visualización de datos.,A system for creating digital collections. It follows IIIF standards and multiple types of data vizualizations.,./code/seriemini.png
¡Zine!,collections,https://srsergiorodriguez.github.io/zine/,Un archivo digital personal de zines y otras publicaciones alternativas.,A personal digital archive of zines and other alternative publications.,./code/zine.png
Bloki,videogames,https://srsergior.itch.io/bloki,¿Cuál será el último Bloki en mantenerse de pie en la plataforma? ¡Intenta hacer que el piso de tu contrincante se caiga y evita que se caiga el tuyo! Juego para uno o dos jugadores.,What Bloki will be the last standing on the platform? Try to make your opponent fall from the platform and avoid falling! 1 or 2 player game.,./code/bloki.gif
Pof,videogames,https://srsergior.itch.io/pof,"Ayuda a POF a eliminar todas las pesadillas tan rápido como puedas sin perder todas tus vidas. Cada pesadilla tiene su propio comportamiento, así que debes encontrar la mejor estrategia para derrotarlas pronto. Cuando avanzas puedes comprar mejoras y proyectiles, escógelos sabiamente para mejorar tu tiempo.","Help POF kill all the monster nightmares as fast as possible and without losing all your lives. Every nightmare has its own behavior, so find the best strategy to defeat each one of them quickly. As you advance, you can buy new weapons and upgrade your stats, choose wisely to improve your times.",./code/pof.gif
Autopoeta,elit,https://srsergiorodriguez.github.io/autopoeta/,Un generador de poemas absurdos.,An automatic absurd poem generator.,./code/autopoeta.gif
Astrobot,elit,https://twitter.com/HeyAstroBot,Un generador de horóscopos automáticos. Bot de Twitter.,An automatic horoscope generator. Twitter Bot.,./code/astrobot.jpeg
Archibot,elit,https://twitter.com/OyeArchiBot,Un bot de Twitter que ofrece una serie de funcionalidades para interactuar archivos y colecciones culturales públicas. En Colaboración con Juan A. Umbarila.,A Twitter bot that offers a series of functionalities for interacting with public cultural archives and collections. In colab with Juan A. Umbarila.,./code/archibot.jpeg